Países,Esperanzavida1990,Esperanzavida2016,,Diferencia,,,,,,,,,
Afghanistan,50,64,,14,,,,,,,,,
Albania,72,78,,6,,,,,,,,,
Algeria,67,76,,9,,,,,,,,,
Angola,42,62,,20,,,,,,,,,
Antigua and Barbuda,71,76,,5,,,,,,,,,
Argentina,72,77,,5,,,Columna 1990,,,Columna 2016,,,Diferencia
Armenia,68,75,,7,,Media,"65,005076142132",,Media,"72,1269035532995",,Mean,"7,12182741116751"
Aruba,73,76,,3,,Error estándar,"0,705144459887111",,Error estándar,"0,556964964142896",,Standard Error,"0,32004885341581"
Australia,77,83,,6,,Moda,71,,Moda,76,,Mode,5
Austria,76,81,,5,,Mediana,68,,Mediana,74,,Median,6
Azerbaijan,65,72,,7,,Primer cuartil,58,,Primer cuartil,67,,First Quartile ,5
"Bahamas, The",71,76,,5,,Tercer cuartil,72,,Tercer cuartil,77,,Third Quartile,9
Bahrain,72,77,,5,,Varianza,"97,9540557339687",,Varianza,"61,1113643426914",,Variance,"20,1789599088366"
Bangladesh,58,72,,14,,Desviación estándar,"9,89717412870809",,Desviación estándar,"7,81737579643523",,Standard Deviation,"4,49209972160421"
Barbados,71,76,,5,,Curtosis,"-0,15472263297693",,Curtosis,"-0,350535573201267",,Kurtosis,"5,6182048191633"
Belarus,71,74,,3,,Asimetría,"-0,838546102743733",,Asimetría,"-0,632785921025807",,Skewness,"1,61035889701205"
Belgium,76,81,,5,,Intervalo,45,,Intervalo,32,,Range,38
Belize,71,70,,-1,,Mínimo,34,,Mínimo,52,,Minimum,-5
Benin,54,61,,7,,Máximo,79,,Máximo,84,,Maximum,33
Bermuda,74,81,,7,,Suma,12806,,Suma,14209,,Sum,1403
Bhutan,53,70,,17,,Conteo,197,,Conteo,197,,Count,197
Bolivia,55,69,,14,,,,,,,,,
Bosnia and Herzegovina,71,77,,6,,,,,,,,,
Botswana,62,67,,5,,,,,,,,,
Brazil,65,76,,11,,1- Menor esperanza 2016,52,Sierra Leone,,,,,
Brunei Darussalam,73,77,,4,,2- Menor esperanza 1990,34,Rwanda,,,,,
Bulgaria,72,75,,3,,3- Mayor 2016,84,"Hong Kong SAR, China",,,,,
Burkina Faso,49,60,,11,,4- Mayor 1990,79,Japan,,,,,
Burundi,48,57,,9,,5- Intervalo 2016,32,,,,,,
Cabo Verde,65,73,,8,,6- Intervalo 1990,45,,,,,,
Cambodia,54,69,,15,,7- Mayor avance,33,Rwanda,,,,,
Cameroon,52,58,,6,,8- Menor avance,-5,Lesotho,,,,,
Canada,77,82,,5,,9- Media 2016,"72,1269035532995",,,,,,
Central African Republic,49,52,,3,,10- Media 1990,"65,005076142132",,,,,,
Chad,47,53,,6,,12- Dispersión 2016,"7,81737579643523",,,,,,
Channel Islands,76,81,,5,,13- Dispersión 1990,"9,89717412870809",,,,,,
Chile,74,80,,6,,,,,,,,,
China,69,76,,7,,,,,,,,,
"Hong Kong SAR, China",77,84,,7,,,,,,,,,
"Macao SAR, China",77,84,,7,,,,,,,,,
Colombia,68,74,,6,,,,,,,,,
Comoros,57,64,,7,,,,,,,,,
"Congo, Dem. Rep.",49,60,,11,,,,,,,,,
"Congo, Rep.",56,65,,9,,,,,,,,,
Costa Rica,76,80,,4,,,,,,,,,
