Países,Esperanzavida1990,Esperanzavida2016,,,,,,,
Afghanistan,50,64,,,,,,,
Albania,72,78,,,,,,,
Algeria,67,76,,,,,,,
Angola,42,62,,,,,,,
Antigua and Barbuda,71,76,,,,,,,
Argentina,72,77,,,,Columna 1990,,,Columna 2016
Armenia,68,75,,,Media,"65,005076142132",,Media,"72,1269035532995"
Aruba,73,76,,,Error estándar,"0,705144459887111",,Error estándar,"0,556964964142896"
Australia,77,83,,,Moda,71,,Moda,76
Austria,76,81,,,Mediana,68,,Mediana,74
Azerbaijan,65,72,,,Primer cuartil,58,,Primer cuartil,67
"Bahamas, The",71,76,,,Tercer cuartil,72,,Tercer cuartil,77
Bahrain,72,77,,,Varianza,"97,9540557339687",,Varianza,"61,1113643426914"
Bangladesh,58,72,,,Desviación estándar,"9,89717412870809",,Desviación estándar,"7,81737579643523"
Barbados,71,76,,,Curtosis,"-0,15472263297693",,Curtosis,"-0,350535573201267"
Belarus,71,74,,,Asimetría,"-0,838546102743733",,Asimetría,"-0,632785921025807"
Belgium,76,81,,,Intervalo,45,,Intervalo,32
Belize,71,70,,,Mínimo,34,,Mínimo,52
Benin,54,61,,,Máximo,79,,Máximo,84
Bermuda,74,81,,,Suma,12806,,Suma,14209
Bhutan,53,70,,,Conteo,197,,Conteo,197
Bolivia,55,69,,,,,,,
Bosnia and Herzegovina,71,77,,,,,,,
Botswana,62,67,,,,,,,
Brazil,65,76,,,,,,,
Brunei Darussalam,73,77,,,,,,,
Bulgaria,72,75,,,,,,,
Burkina Faso,49,60,,,,,,,
Burundi,48,57,,,,,,,
Cabo Verde,65,73,,,,,,,
Cambodia,54,69,,,,,,,
Cameroon,52,58,,,,,,,
Canada,77,82,,,,,,,
Central African Republic,49,52,,,,,,,
Chad,47,53,,,,,,,
Channel Islands,76,81,,,,,,,
Chile,74,80,,,,,,,
China,69,76,,,,,,,
"Hong Kong SAR, China",77,84,,,,,,,
"Macao SAR, China",77,84,,,,,,,
Colombia,68,74,,,,,,,
Comoros,57,64,,,,,,,
"Congo, Dem. Rep.",49,60,,,,,,,
"Congo, Rep.",56,65,,,,,,,
Costa Rica,76,80,,,,,,,
Cote d'Ivoire,52,54,,,,,,,
Croatia,72,78,,,,,,,
Cuba,75,80,,,,,,,
Cyprus,77,81,,,,,,,
Czech Republic,71,78,,,,,,,
Denmark,75,81,,,,,,,
Djibouti,57,62,,,,,,,
Dominican Republic,68,74,,,,,,,
Ecuador,69,76,,,,,,,
"Egypt, Arab Rep.",65,71,,,,,,,
El Salvador,64,74,,,,,,,
Equatorial Guinea,48,58,,,,,,,
Eritrea,50,65,,,,,,,
Estonia,69,78,,,,,,,
Eswatini,60,58,,,,,,,
Ethiopia,47,65,,,,,,,
Faroe Islands,76,82,,,,,,,
Fiji,66,70,,,,,,,
Finland,75,82,,,,,,,
France,77,82,,,,,,,
French Polynesia,69,77,,,,,,,
Gabon,61,66,,,,,,,
"Gambia, The",52,61,,,,,,,
Georgia,70,73,,,,,,,
Germany,75,81,,,,,,,
Ghana,57,63,,,,,,,
Greece,77,81,,,,,,,
Grenada,69,74,,,,,,,
Guam,72,80,,,,,,,
Guatemala,62,73,,,,,,,
Guinea,50,60,,,,,,,
Guinea-Bissau,49,57,,,,,,,
Guyana,63,67,,,,,,,
Haiti,55,63,,,,,,,
Honduras,67,74,,,,,,,
Hungary,69,76,,,,,,,
Iceland,78,82,,,,,,,
India,58,69,,,,,,,
Indonesia,63,69,,,,,,,
"Iran, Islamic Rep.",64,76,,,,,,,
Iraq,66,70,,,,,,,
Ireland,75,82,,,,,,,
Israel,77,82,,,,,,,
Italy,77,83,,,,,,,
Jamaica,72,76,,,,,,,
Japan,79,84,,,,,,,
Jordan,70,74,,,,,,,
Kazakhstan,68,72,,,,,,,
Kenya,58,67,,,,,,,
Kiribati,60,66,,,,,,,
"Korea, Dem. Rep.",70,72,,,,,,,
"Korea, Rep.",72,82,,,,,,,
Kosovo,68,72,,,,,,,
Kuwait,72,75,,,,,,,
Kyrgyz Republic,68,71,,,,,,,
Lao PDR,54,67,,,,,,,
Latvia,69,75,,,,,,,
Lebanon,70,80,,,,,,,
Lesotho,59,54,,,,,,,
Liberia,47,63,,,,,,,
Libya,69,72,,,,,,,
Lithuania,71,74,,,,,,,
Luxembourg,75,82,,,,,,,
"Macedonia, FYR",71,76,,,,,,,
Madagascar,51,66,,,,,,,
Malawi,47,63,,,,,,,
Malaysia,71,75,,,,,,,
Maldives,61,77,,,,,,,
Mali,46,58,,,,,,,
Malta,76,82,,,,,,,
Mauritania,58,63,,,,,,,
Mauritius,69,74,,,,,,,
Mexico,71,77,,,,,,,
